Sample in Buffer,Sample in Window,TRIGGER,top_block_i/SAMPA_PON_v1_0_0/inst/cnt_reg[27:0],top_block_i/SAMPA_PON_v1_0_0/inst/m00_axi_rdata[31:0],u_ila_0_m00_axi_rdata[0:0],top_block_i/SAMPA_PON_v1_0_0/inst/m00_axi_araddr[31:0],top_block_i/SAMPA_PON_v1_0_0/inst/SAMPA_PON_v1_0_M00_AXI_inst/p_1_in[2:0],u_ila_0_m00_axi_rdata[31:0],u_ila_0_sampa_rdata[31:0],u_ila_0_state_sw[2:0],u_ila_0_i2c_waddr_o[31:0],top_block_i/fakernet/reg_switch_0/regacc_data_rd_o[31:0],u_ila_0_regacc_data_rd_i[31:0],top_block_i/fakernet/reg_switch_0/regacc_data_wr_i[31:0],top_block_i/fakernet/reg_switch_0/regacc_addr_i[24:0],top_block_i/fakernet/reg_switch_0/regacc_data_wr_o[31:0],top_block_i/fakernet/reg_switch_0/regacc_addr_o[13:0],u_ila_0_regacc_addr_o[24:14],top_block_i/led_module/LED_REG_READ_SEPARAT_1/inst/LED_REG_READ_SEPARATE_v1_0_M00_AXI_inst/axi_araddr[31:0],u_ila_0_axi_araddr[28:0],u_ila_0_m00_axi_araddr[29]_1,u_ila_0_m00_axi_araddr[30]_1,u_ila_0_m00_axi_araddr[31]_1,top_block_i/led_module/LED_REG_READ_SEPARAT_0/inst/LED_REG_READ_SEPARATE_v1_0_M00_AXI_inst/axi_araddr[31:0],u_ila_0_axi_araddr[0]_1,u_ila_0_axi_araddr[1]_1,u_ila_0_axi_araddr[2]_1,u_ila_0_axi_araddr[3]_1,u_ila_0_axi_araddr[4]_1,u_ila_0_axi_araddr[5]_1,u_ila_0_axi_araddr[6]_1,u_ila_0_axi_araddr[7]_1,u_ila_0_axi_araddr[8]_1,u_ila_0_axi_araddr[9]_1,u_ila_0_axi_araddr[10]_1,u_ila_0_axi_araddr[11]_1,u_ila_0_axi_araddr[12]_1,u_ila_0_axi_araddr[13]_1,u_ila_0_axi_araddr[14]_1,u_ila_0_axi_araddr[15]_1,u_ila_0_axi_araddr[16]_1,u_ila_0_axi_araddr[17]_1,u_ila_0_axi_araddr[18]_1,u_ila_0_axi_araddr[19]_1,u_ila_0_axi_araddr[20]_1,u_ila_0_axi_araddr[21]_1,u_ila_0_axi_araddr[22]_1,u_ila_0_axi_araddr[23]_1,u_ila_0_axi_araddr[24]_1,u_ila_0_axi_araddr[25]_1,u_ila_0_axi_araddr[26]_1,u_ila_0_axi_araddr[27]_1,u_ila_0_axi_araddr[28]_1,u_ila_0_m00_axi_araddr[29]_2,u_ila_0_m00_axi_araddr[30]_2,u_ila_0_m00_axi_araddr[31]_2,u_ila_0_axi_aresetn,top_block_i/fakernet/reg_switch_0/inst/i2c_addr,top_block_i/SAMPA_PON_v1_0_0/m00_axi_arready,u_ila_0_m00_axi_arvalid,top_block_i/SAMPA_PON_v1_0_0/m00_axi_bready,top_block_i/SAMPA_PON_v1_0_0/m00_axi_bvalid,top_block_i/SAMPA_PON_v1_0_0/m00_axi_rready,top_block_i/SAMPA_PON_v1_0_0/m00_axi_rvalid,u_ila_0_m00_axi_txn_done,LED_OBUF_1[1:1],u_ila_0_regacc_done_i,u_ila_0_regacc_done_o,top_block_i/fakernet/reg_switch_0/regacc_read_i,top_block_i/fakernet/reg_switch_0/regacc_read_o,top_block_i/fakernet/reg_switch_0/regacc_write_i,u_ila_0_regacc_write_o,LED_OBUF[1:1],top_block_i/SAMPA_PON_v1_0_0/inst/sampa_power_on,top_block_i/SAMPA_PON_v1_0_0/inst/txn
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,5ea1161,dec0de1c,0,c0008000,2,dec0de1c,00000000,"STATE_I2C_READ",00000000,00000001,00000001,00000000,0000004,00000000,0001,000,0000f00c,0000f00c,0,1,1,0000f008,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
1,1,0,5ea1162,dec0de1c,0,c0008000,2,dec0de1c,00000000,"STATE_I2C_READ",00000000,00000001,00000001,00000000,0000004,00000000,0001,000,0000f00c,0000f00c,0,1,1,0000f008,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
2,2,0,5ea1163,dec0de1c,0,c0008000,2,dec0de1c,00000000,"STATE_I2C_READ",00000000,00000001,00000001,00000000,0000004,00000000,0001,000,0000f00c,0000f00c,0,1,1,0000f008,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
3,3,0,5ea1164,dec0de1c,0,c0008000,2,dec0de1c,00000000,"STATE_I2C_READ",00000000,00000001,00000001,00000000,0000004,00000000,0001,000,0000f00c,0000f00c,0,1,1,0000f008,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
4,4,0,5ea1165,dec0de1c,0,c0008000,2,dec0de1c,00000000,"STATE_I2C_READ",00000000,00000001,00000001,00000000,0000004,00000000,0001,000,0000f00c,0000f00c,0,1,1,0000f008,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
5,5,0,5ea1166,dec0de1c,0,c0008000,2,dec0de1c,00000000,"STATE_I2C_READ",00000000,00000001,00000001,00000000,0000004,00000000,0001,000,0000f00c,0000f00c,0,1,1,0000f008,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
6,6,0,5ea1167,dec0de1c,0,c0008000,2,dec0de1c,00000000,"STATE_I2C_READ",00000000,00000001,00000001,00000000,0000004,00000000,0001,000,0000f00c,0000f00c,0,1,1,0000f008,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
7,7,0,5ea1168,dec0de1c,0,c0008000,2,dec0de1c,00000000,"STATE_I2C_READ",00000000,00000001,00000001,00000000,0000004,00000000,0001,000,0000f00c,0000f00c,0,1,1,0000f008,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
8,8,0,5ea1169,dec0de1c,0,c0008000,2,dec0de1c,00000000,"STATE_I2C_READ",00000000,00000001,00000001,00000000,0000004,00000000,0001,000,0000f00c,0000f00c,0,1,1,0000f008,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
9,9,0,5ea116a,dec0de1c,0,c0008000,2,dec0de1c,00000000,"STATE_I2C_READ",00000000,00000001,00000001,00000000,0000004,00000000,0001,000,0000f00c,0000f00c,0,1,1,0000f008,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
10,10,0,5ea116b,dec0de1c,0,c0008000,2,dec0de1c,00000000,"STATE_I2C_READ",00000000,00000001,00000001,00000000,0000004,00000000,0001,000,0000f00c,0000f00c,0,1,1,0000f008,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
11,11,0,5ea116c,dec0de1c,0,c0008000,2,dec0de1c,00000000,"STATE_I2C_READ",00000000,00000001,00000001,00000000,0000004,00000000,0001,000,0000f00c,0000f00c,0,1,1,0000f008,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
12,12,0,5ea116d,dec0de1c,0,c0008000,2,dec0de1c,00000000,"STATE_I2C_READ",00000000,00000001,00000001,00000000,0000004,00000000,0001,000,0000f00c,0000f00c,0,1,1,0000f008,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
13,13,0,5ea116e,dec0de1c,0,c0008000,2,dec0de1c,00000000,"STATE_I2C_READ",00000000,00000001,00000001,00000000,0000004,00000000,0001,000,0000f00c,0000f00c,0,1,1,0000f008,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
14,14,0,5ea116f,dec0de1c,0,c0008000,2,dec0de1c,00000000,"STATE_I2C_READ",00000000,00000001,00000001,00000000,0000004,00000000,0001,000,0000f00c,0000f00c,0,1,1,0000f008,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
15,15,0,5ea1170,dec0de1c,0,c0008000,2,dec0de1c,00000000,"STATE_I2C_READ",00000000,00000001,00000001,00000000,0000004,00000000,0001,000,0000f00c,0000f00c,0,1,1,0000f008,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
16,16,0,5ea1171,dec0de1c,0,c0008000,2,dec0de1c,00000000,"STATE_I2C_READ",00000000,00000001,00000001,00000000,0000004,00000000,0001,000,0000f00c,0000f00c,0,1,1,0000f008,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
17,17,0,5ea1172,dec0de1c,0,c0008000,2,dec0de1c,00000000,"STATE_I2C_READ",00000000,00000001,00000001,00000000,0000004,00000000,0001,000,0000f00c,0000f00c,0,1,1,0000f008,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
18,18,0,5ea1173,dec0de1c,0,c0008000,2,dec0de1c,00000000,"STATE_I2C_READ",00000000,00000001,00000001,00000000,0000004,00000000,0001,000,0000f00c,0000f00c,0,1,1,0000f008,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
19,19,0,5ea1174,dec0de1c,0,c0008000,2,dec0de1c,00000000,"STATE_I2C_READ",00000000,00000001,00000001,00000000,0000004,00000000,0001,000,0000f00c,0000f00c,0,1,1,0000f008,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
