Sample in Buffer,Sample in Window,TRIGGER,top_block_i/appUnit/das_rx_0/inst/bus2[319:0],top_block_i/appUnit/das_rx_0/inst/bus3[319:0],top_block_i/appUnit/das_rx_0/inst/SO0[10:0],top_block_i/appUnit/das_rx_0/inst/SO1[10:0],top_block_i/appUnit/das_rx_0/inst/SO3[10:0],top_block_i/appUnit/das_rx_0/inst/bus1[319:0],top_block_i/appUnit/das_rx_0/inst/SO2[10:0],top_block_i/appUnit/das_rx_0/inst/bus0[319:0],top_block_i/appUnit/fifo_generator_0_full,top_block_i/appUnit/fifo_generator_1_full,top_block_i/appUnit/fifo_generator_2_full,top_block_i/appUnit/fifo_generator_3_full
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,9a66f9f6719ce639d6689fe679be699ce719c2789ba6d9f6719ae699a26b9fe699f26d9fe649b67d,6edb86bda76e1a7685a56e5ba6e5b9691a1699a66b5a6699ba69dbf69dba689a168da56e9a3691a4,34a,156,5a1,5295d5594e5494b559545755052d4b52154549485395755d4b555575495454548541495595555d51,270,d3756d6f55d3753d4b56d474cd3348d5755d374fd334ed4b50d2b51d3b55d2350d5f56d4b4cd3350,0,0,0,1
1,1,0,9a66f9f6719ce639d6689fe679be699ce719c2789ba6d9f6719ae699a26b9fe699f26d9fe649b67d,6edb86bda76e1a7685a56e5ba6e5b9691a1699a66b5a6699ba69dbf69dba689a168da56e9a3691a4,351,146,5a4,5295d5594e5494b559545755052d4b52154549485395755d4b555575495454548541495595555d51,269,d3756d6f55d3753d4b56d474cd3348d5755d374fd334ed4b50d2b51d3b55d2350d5f56d4b4cd3350,0,0,0,1
2,2,0,9a66f9f6719ce639d6689fe679be699ce719c2789ba6d9f6719ae699a26b9fe699f26d9fe649b67d,6edb86bda76e1a7685a56e5ba6e5b9691a1699a66b5a6699ba69dbf69dba689a168da56e9a3691a4,349,141,5be,5295d5594e5494b559545755052d4b52154549485395755d4b555575495454548541495595555d51,26f,d3756d6f55d3753d4b56d474cd3348d5755d374fd334ed4b50d2b51d3b55d2350d5f56d4b4cd3350,0,0,0,1
3,3,0,9a66f9f6719ce639d6689fe679be699ce719c2789ba6d9f6719ae699a26b9fe699f26d9fe649b67d,6edb86bda76e1a7685a56e5ba6e5b9691a1699a66b5a6699ba69dbf69dba689a168da56e9a3691a4,35a,142,5a5,5295d5594e5494b559545755052d4b52154549485395755d4b555575495454548541495595555d51,273,d3756d6f55d3753d4b56d474cd3348d5755d374fd334ed4b50d2b51d3b55d2350d5f56d4b4cd3350,0,0,0,1
4,4,0,9a66f9f6719ce639d6689fe679be699ce719c2789ba6d9f6719ae699a26b9fe699f26d9fe649b67d,6edb86bda76e1a7685a56e5ba6e5b9691a1699a66b5a6699ba69dbf69dba689a168da56e9a3691a4,348,146,5b9,5295d5594e5494b559545755052d4b52154549485395755d4b555575495454548541495595555d51,26d,d3756d6f55d3753d4b56d474cd3348d5755d374fd334ed4b50d2b51d3b55d2350d5f56d4b4cd3350,0,0,0,1
5,5,0,9a66f9f6719ce639d6689fe679be699ce719c2789ba6d9f6719ae699a26b9fe699f26d9fe649b67d,6edb86bda76e1a7685a56e5ba6e5b9691a1699a66b5a6699ba69dbf69dba689a168da56e9a3691a4,350,155,5b9,5295d5594e5494b559545755052d4b52154549485395755d4b555575495454548541495595555d51,277,d3756d6f55d3753d4b56d474cd3348d5755d374fd334ed4b50d2b51d3b55d2350d5f56d4b4cd3350,0,0,0,1
6,6,0,9a66f9f6719ce639d6689fe679be699ce719c2789ba6d9f6719ae699a26b9fe699f26d9fe649b67d,6edb86bda76e1a7685a56e5ba6e5b9691a1699a66b5a6699ba69dbf69dba689a168da56e9a3691a4,357,155,5a7,5295d5594e5494b559545755052d4b52154549485395755d4b555575495454548541495595555d51,26d,d3756d6f55d3753d4b56d474cd3348d5755d374fd334ed4b50d2b51d3b55d2350d5f56d4b4cd3350,0,0,0,1
7,7,0,9a66f9f6719ce639d6689fe679be699ce719c2789ba6d9f6719ae699a26b9fe699f26d9fe649b67d,6edb86bda76e1a7685a56e5ba6e5b9691a1699a66b5a6699ba69dbf69dba689a168da56e9a3691a4,356,154,5a1,5295d5594e5494b559545755052d4b52154549485395755d4b555575495454548541495595555d51,277,d3756d6f55d3753d4b56d474cd3348d5755d374fd334ed4b50d2b51d3b55d2350d5f56d4b4cd3350,0,0,0,1
8,8,0,9a66f9f6719ce639d6689fe679be699ce719c2789ba6d9f6719ae699a26b9fe699f26d9fe649b67d,6edb86bda76e1a7685a56e5ba6e5b9691a1699a66b5a6699ba69dbf69dba689a168da56e9a3691a4,352,143,5a6,5295d5594e5494b559545755052d4b52154549485395755d4b555575495454548541495595555d51,267,d3756d6f55d3753d4b56d474cd3348d5755d374fd334ed4b50d2b51d3b55d2350d5f56d4b4cd3350,0,0,0,1
