Sample in Buffer,Sample in Window,TRIGGER,top_block_i/SO_receiver/idelay_top_v2_0/inst/gen_SO0[10].special_inst.u_idelay_impl_SO0/max_cnt[4:0],top_block_i/SO_receiver/idelay_top_v2_0/inst/gen_SO0[10].special_inst.u_idelay_impl_SO0/SO0_out[0:0],top_block_i/SO_receiver/idelay_top_v2_0/inst/gen_SO0[10].special_inst.u_idelay_impl_SO0/current_idelay[8:0],u_ila_0_aggregate_state_return[0:0],top_block_i/SO_receiver/idelay_top_v2_0/inst/gen_SO0[10].special_inst.u_idelay_impl_SO0/check_delay[8:0],top_block_i/SO_receiver/idelay_top_v2_0/inst/gen_SO0[10].special_inst.u_idelay_impl_SO0/ch0_special_state[3:0],top_block_i/SO_receiver/idelay_top_v2_0/SO2_out[9:0],u_ila_0_SO2_out[10:10],top_block_i/SO_receiver/idelay_top_v2_0/SO1_out[9:0],u_ila_0_SO1_out[10:10],top_block_i/SO_receiver/idelay_top_v2_0/SO0_out_1[0:0],u_ila_0_SO0_out[1:1],top_block_i/SO_receiver/idelay_top_v2_0/SO0_out[7:2],u_ila_0_SO0_out[10:8],u_ila_0_overall_state[0]_1,top_block_i/SO_receiver/idelay_top_v2_0/inst/overall_state[1:1],u_ila_0_overall_state[0:0],top_block_i/SO_receiver/idelay_top_v2_0/overall_state[1:1],top_block_i/SO_receiver/idelay_top_v2_0/SO3_out[9:0],u_ila_0_SO3_out[10:10],top_block_i/SO_receiver/idelay_top_v2_0/inst/gen_SO0[10].special_inst.u_idelay_impl_SO0/special_state[3:0],top_block_i/SO_receiver/idelay_top_v2_0/inst/gen_SO0[10].special_inst.u_idelay_impl_SO0/cycle_counter[7:0],top_block_i/SO_receiver/idelay_top_v2_0/inst/gen_SO0[10].special_inst.u_idelay_impl_SO0/prev_data,top_block_i/SO_receiver/idelay_top_v2_0/inst/gen_SO0[10].special_inst.u_idelay_impl_SO0/raw_data_out,u_ila_0_reset,top_block_i/SO_receiver/idelay_top_v2_0/trg
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED,HEX,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,UNSIGNED,HEX,HEX,HEX,HEX
0,0,0,00,1,256,1,256,8,000,0,000,1,1,0,12,0,0,0,0,0,050,1,"SPECIAL_DONE",0,1,0,0,1
1,1,0,00,0,256,1,256,8,000,0,000,1,0,1,13,0,0,0,0,0,050,1,"SPECIAL_DONE",0,1,0,0,1
2,2,0,00,0,256,1,256,8,000,0,000,1,0,1,14,4,0,0,0,0,046,1,"SPECIAL_DONE",0,0,0,0,1
3,3,0,00,1,256,1,256,8,000,1,000,1,1,1,11,4,0,0,0,0,044,1,"SPECIAL_DONE",0,0,0,0,1
4,4,0,00,0,256,1,256,8,000,1,000,1,0,1,12,4,0,0,0,0,058,1,"SPECIAL_DONE",0,1,0,0,1
5,5,0,00,1,256,1,256,8,000,1,000,1,1,1,11,4,0,0,0,0,04f,1,"SPECIAL_DONE",0,0,0,0,1
6,6,0,00,0,256,1,256,8,000,1,000,1,0,1,12,4,0,0,0,0,04c,1,"SPECIAL_DONE",0,1,1,0,1
7,7,0,00,0,256,1,256,8,000,1,000,1,0,0,12,4,0,0,0,0,053,1,"SPECIAL_DONE",0,0,1,0,1
8,8,0,00,0,256,1,256,8,000,1,000,1,0,0,11,4,0,0,0,0,048,1,"SPECIAL_DONE",0,0,0,0,1
9,9,0,00,0,256,1,256,8,000,1,000,0,0,1,12,4,0,0,0,0,040,1,"SPECIAL_DONE",0,0,0,0,1
10,10,0,00,1,256,1,256,8,000,1,000,0,1,1,12,4,0,0,0,0,045,1,"SPECIAL_DONE",0,0,1,0,1
11,11,0,00,0,256,1,256,8,000,1,000,0,0,0,13,4,0,0,0,0,05a,1,"SPECIAL_DONE",0,1,1,0,1
12,12,0,00,1,256,1,256,8,000,1,000,0,1,0,12,4,0,0,0,0,04a,1,"SPECIAL_DONE",0,0,1,0,1
13,13,0,00,0,256,1,256,8,000,1,000,0,0,0,11,4,0,0,0,0,044,0,"SPECIAL_DONE",0,1,1,0,1
14,14,0,00,1,256,1,256,8,000,1,000,0,1,0,13,4,0,0,0,0,059,0,"SPECIAL_DONE",0,0,1,0,1
15,15,0,00,0,256,1,256,8,000,1,000,0,0,0,14,4,0,0,0,0,050,0,"SPECIAL_DONE",0,1,0,0,1
16,16,0,00,0,256,1,256,8,000,1,000,0,0,1,12,4,0,0,0,0,056,0,"SPECIAL_DONE",0,0,1,0,1
17,17,0,00,0,256,1,256,8,000,1,000,0,0,0,12,4,0,0,0,0,059,0,"SPECIAL_DONE",0,0,1,0,1
18,18,0,00,1,256,1,256,8,000,1,000,0,1,0,10,0,0,0,0,0,05a,0,"SPECIAL_DONE",0,0,1,0,1
19,19,0,00,1,256,1,256,8,000,0,000,0,1,0,12,0,0,0,0,0,04f,0,"SPECIAL_DONE",0,1,1,0,1
20,20,0,00,1,256,1,256,8,000,0,000,0,1,0,12,0,0,0,0,0,044,0,"SPECIAL_DONE",0,1,0,0,1
21,21,0,00,0,256,1,256,8,000,0,000,0,0,1,11,0,0,0,0,0,05f,0,"SPECIAL_DONE",0,1,1,0,1
22,22,0,00,1,256,1,256,8,000,0,000,0,1,0,12,0,0,0,0,0,044,0,"SPECIAL_DONE",0,0,0,0,1
23,23,0,00,1,256,1,256,8,000,0,000,0,1,1,12,0,0,0,0,0,051,0,"SPECIAL_DONE",0,1,0,0,1
24,24,0,00,0,256,1,256,8,000,0,000,0,0,1,13,0,0,0,0,0,047,0,"SPECIAL_DONE",0,1,0,0,1
25,25,0,00,1,256,1,256,8,000,0,000,1,1,1,12,0,0,0,0,0,058,0,"SPECIAL_DONE",0,0,1,0,1
26,26,0,00,1,256,1,256,8,000,0,000,1,1,0,13,0,0,0,0,0,04a,0,"SPECIAL_DONE",0,1,0,0,1
27,27,0,00,1,256,1,256,8,000,0,000,1,1,1,11,0,0,0,0,0,04e,0,"SPECIAL_DONE",0,1,1,0,1
28,28,0,00,0,256,1,256,8,000,0,000,1,0,0,12,0,0,0,0,0,045,0,"SPECIAL_DONE",0,1,1,0,1
29,29,0,00,0,256,1,256,8,000,0,000,1,0,1,13,0,0,0,0,0,052,1,"SPECIAL_DONE",0,0,0,0,1
30,30,0,00,1,256,1,256,8,000,0,000,1,1,1,10,0,0,0,0,0,050,1,"SPECIAL_DONE",0,0,1,0,1
31,31,0,00,1,256,1,256,8,000,0,000,1,1,0,11,0,0,0,0,0,051,1,"SPECIAL_DONE",0,1,1,0,1
