Sample in Buffer,Sample in Window,TRIGGER,top_block_i/appUnit/das_rx_0/inst/SO0[10:0],top_block_i/appUnit/das_rx_0/inst/SO1[10:0],top_block_i/appUnit/das_rx_0/inst/bus3[319:0],top_block_i/appUnit/das_rx_0/inst/SO2[10:0],top_block_i/appUnit/das_rx_0/inst/bus0[319:0],top_block_i/appUnit/das_rx_0/inst/SO3[10:0],top_block_i/appUnit/das_rx_0/inst/bus2[319:0],top_block_i/appUnit/das_rx_0/inst/bus1[319:0],top_block_i/appUnit/fifo_generator_0_full,top_block_i/appUnit/fifo_generator_1_full,top_block_i/appUnit/fifo_generator_2_full,top_block_i/appUnit/fifo_generator_3_full
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,34c,156,699a1691a269da66eda46fda76eda3699a06e9bb681a4695bb6e5ac691b9691a1695b96e9be6e1a5,66e,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f4fd3b4ec2b02c0b02c0b02c0b02,1a4,9b26d99e659b6719b66c9c6719c2679c26c99e679ae719ee6e9c26a9b26d9be6e9ae709a66c9ce6d,521515515d5094b52d4b559405294e55d475215555950559445294152d545595450d4857d465354f,1,1,1,1
1,1,0,348,152,699a1691a269da66eda46fda76eda3699a06e9bb681a4695bb6e5ac691b9691a1695b96e9be6e1a5,66d,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f4fd3b4ec2b02c0b02c0b02c0b02,1a4,9b26d99e659b6719b66c9c6719c2679c26c99e679ae719ee6e9c26a9b26d9be6e9ae709a66c9ce6d,521515515d5094b52d4b559405294e55d475215555950559445294152d545595450d4857d465354f,1,1,1,1
2,2,0,356,154,699a1691a269da66eda46fda76eda3699a06e9bb681a4695bb6e5ac691b9691a1695b96e9be6e1a5,66c,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f4fd3b4ec2b02c0b02c0b02c0b02,1b8,9b26d99e659b6719b66c9c6719c2679c26c99e679ae719ee6e9c26a9b26d9be6e9ae709a66c9ce6d,521515515d5094b52d4b559405294e55d475215555950559445294152d545595450d4857d465354f,1,1,1,1
3,3,0,357,156,699a1691a269da66eda46fda76eda3699a06e9bb681a4695bb6e5ac691b9691a1695b96e9be6e1a5,675,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f4fd3b4ec2b02c0b02c0b02c0b02,1b8,9b26d99e659b6719b66c9c6719c2679c26c99e679ae719ee6e9c26a9b26d9be6e9ae709a66c9ce6d,521515515d5094b52d4b559405294e55d475215555950559445294152d545595450d4857d465354f,1,1,1,1
4,4,0,34d,148,699a1691a269da66eda46fda76eda3699a06e9bb681a4695bb6e5ac691b9691a1695b96e9be6e1a5,671,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f4fd3b4ec2b02c0b02c0b02c0b02,1ac,9b26d99e659b6719b66c9c6719c2679c26c99e679ae719ee6e9c26a9b26d9be6e9ae709a66c9ce6d,521515515d5094b52d4b559405294e55d475215555950559445294152d545595450d4857d465354f,1,1,1,1
5,5,0,34f,150,699a1691a269da66eda46fda76eda3699a06e9bb681a4695bb6e5ac691b9691a1695b96e9be6e1a5,670,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f4fd3b4ec2b02c0b02c0b02c0b02,1a5,9b26d99e659b6719b66c9c6719c2679c26c99e679ae719ee6e9c26a9b26d9be6e9ae709a66c9ce6d,521515515d5094b52d4b559405294e55d475215555950559445294152d545595450d4857d465354f,1,1,1,1
6,6,0,34c,149,699a1691a269da66eda46fda76eda3699a06e9bb681a4695bb6e5ac691b9691a1695b96e9be6e1a5,663,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f4fd3b4ec2b02c0b02c0b02c0b02,1b9,9b26d99e659b6719b66c9c6719c2679c26c99e679ae719ee6e9c26a9b26d9be6e9ae709a66c9ce6d,521515515d5094b52d4b559405294e55d475215555950559445294152d545595450d4857d465354f,1,1,1,1
7,7,0,349,156,699a1691a269da66eda46fda76eda3699a06e9bb681a4695bb6e5ac691b9691a1695b96e9be6e1a5,674,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f4fd3b4ec2b02c0b02c0b02c0b02,1a4,9b26d99e659b6719b66c9c6719c2679c26c99e679ae719ee6e9c26a9b26d9be6e9ae709a66c9ce6d,521515515d5094b52d4b559405294e55d475215555950559445294152d545595450d4857d465354f,1,1,1,1
8,8,0,352,155,699a1691a269da66eda46fda76eda3699a06e9bb681a4695bb6e5ac691b9691a1695b96e9be6e1a5,668,c0f02c0f02c0b02c0b02c0b02c0b02c0b02c0b02c0b02c0b06c1f4fd3b4ec2b02c0b02c0b02c0b02,1a6,9b26d99e659b6719b66c9c6719c2679c26c99e679ae719ee6e9c26a9b26d9be6e9ae709a66c9ce6d,521515515d5094b52d4b559405294e55d475215555950559445294152d545595450d4857d465354f,1,1,1,1
